FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.202,Hyde Park,127,241,Hyde Park,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,117,81,4,0,121,81,0.66942149,117,81,0.69230769,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.203,Oak Grove,120,243,Oak Grove,Orange Line,Rapid Transit,No,0,0,N/A,542,520,11,8,553,528,0.95479204,542,520,0.95940959,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.205,Oak Grove,120,245,Oak Grove,Orange Line,Rapid Transit,No,0,0,N/A,140,135,0,0,140,135,0.96428571,140,135,0.96428571,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.206,Sullivan Square,121,246,Sullivan Square,Orange Line,Rapid Transit,No,0,0,N/A,227,219,7,0,234,219,0.93589744,227,219,0.96475771,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.207,Sullivan Square,121,247,Sullivan Square,Orange Line,Rapid Transit,No,0,0,N/A,178,164,0,0,178,164,0.92134832,178,164,0.92134832,0,Private,6,2017-2018
ctps_pnr_lots_polygons.208,Sullivan Square,121,248,Sullivan Square,Orange Line,Rapid Transit,No,0,0,N/A,164,22,0,0,164,22,0.13414634,164,22,0.13414634,0,Private,5,2017-2018
ctps_pnr_lots_polygons.209,South Acton,20,249,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,150,145,97%,150,145,7,2,157,147,0.93630573,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.210,South Acton,20,250,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,26,26,100%,26,26,1,0,27,26,0.96296296,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.211,South Acton,20,251,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,31,21,68%,31,21,0,0,31,21,0.67741936,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.212,South Acton,20,252,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,43,14,33%,43,14,0,0,43,14,0.3255814,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.213,Ayer,9,253,Ayer,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,19,19,1,0,20,19,0.95,19,19,1,0,Private,0,2017-2018
ctps_pnr_lots_polygons.214,Kingston,76,254,Kingston,Kingston/Plymouth,Commuter Rail ,Yes,171,84,49%,171,84,4,2,175,86,0.49142857,0,0,0,0,Private,50,2017-2018
ctps_pnr_lots_polygons.215,Sharon,131,255,Sharon,Providence/Stoughton,Commuter Rail ,Yes,500,404,81%,500,404,2,0,502,404,0.80478088,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.217,Wellington,122,258,Wellington,Orange Line,Rapid Transit,No,0,0,N/A,712,251,8,0,720,251,0.34861111,712,251,0.35252809,0,Private,5,2017-2018
ctps_pnr_lots_polygons.218,Wellington,122,259,Wellington,Orange Line,Rapid Transit,No,0,0,N/A,1071,1068,20,11,1091,1079,0.98900092,1071,1068,0.99719888,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.219,Wellington,122,260,Wellington,Orange Line,Rapid Transit,No,0,0,N/A,235,224,0,0,235,224,0.95319149,235,224,0.95319149,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.220,Wellington,122,261,Wellington,Orange Line,Rapid Transit,No,0,0,N/A,165,160,1,1,166,161,0.96987952,165,160,0.96969697,0,Private,6,2017-2018
ctps_pnr_lots_polygons.221,Wonderland,5,262,Wonderland,Blue Line,Rapid Transit,No,0,0,N/A,465,457,11,8,476,465,0.97689076,465,457,0.9827957,8,Private,5,2017-2018
ctps_pnr_lots_polygons.222,Wonderland,5,263,Wonderland,Blue Line,Rapid Transit,No,0,0,N/A,135,132,8,1,143,133,0.93006993,135,132,0.97777778,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.223,Wonderland,5,264,Wonderland,Blue Line,Rapid Transit,No,0,0,N/A,231,150,0,0,231,150,0.64935065,231,150,0.64935065,0,Private,5,2017-2018
ctps_pnr_lots_polygons.224,Hingham,72,266,Hingham,Hingham Shipyard to Rowes Wharf,Ferry,No,0,0,N/A,1697,1128,29,4,1726,1132,0.65585168,1697,1128,0.66470242,0,MBTA,2,2017-2018
ctps_pnr_lots_polygons.225,Hingham,72,265,Hingham,Hingham Shipyard to Rowes Wharf,Ferry,No,0,0,N/A,296,166,7,5,303,171,0.56435644,296,166,0.56081081,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.226,Hull,308,268,Hull,"Pemberton Point, Hull to Long Wharf, Boston",Ferry,Yes,128,119,93%,128,119,3,1,131,120,0.91603053,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.227,Watertown Yard,320,269,Watertown Yard,Route 345/345 Express Bus,Bus,No,0,0,N/A,194,135,0,0,194,135,0.69587629,194,135,0.69587629,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.228,Quincy Adams,176,270,Quincy Adam,Red Line,Rapid Transit,No,0,0,N/A,160,155,0,0,160,155,0.96875,160,155,0.96875,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.229,Worcester,145,271,Worcester,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,34,32,8,6,42,38,0.90476191,34,32,0.94117647,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.230,Worcester,145,273,Worcester,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,81,81,0,0,81,81,1,81,81,1,0,Town,3,2017-2018
