"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings_am_peak","avg_boardings_off_peak","avg_boardings_pm_peak","avg_alightings_am_peak","avg_alightings_off_peak","avg_alightings_pm_peak","avg_boardings","avg_alightings"
"Fall 2019","Green","place-chill",196.142857142857,109.55,201.012987012987,121.25,59.1428571428571,104.012987012987,32.987012987013,30.3246753246753,125.766233766234,44.9220779220779,178.288659793814,184.567010309278
"Fall 2019","Green","place-chswk",267.545454545455,160.3,288.090909090909,189.7,93.2727272727273,145.883116883117,28.3896103896104,16.5844155844156,184.077922077922,87.4285714285714,245.432989690722,267.80412371134
"Fall 2019","Green","place-clmnl",263.584415584416,75.05,160.38961038961,112.85,111.805194805195,119.116883116883,32.6623376623377,9.49350649350649,108.220779220779,42.6753246753247,224.711340206186,150.587628865979
"Fall 2019","Green","place-coecl",14558.7402597403,8034.15,13239.0649350649,7478.35,1520.32467532468,8448.53246753247,4589.88311688312,2812.23376623377,7533.12987012987,2893.7012987013,13213.4639175258,12051.2886597938
"Fall 2019","Green","place-cool",1026.71428571429,516.85,1048.11688311688,585.1,197.363636363636,631.675324675325,197.675324675325,86.6103896103896,647.688311688312,313.818181818182,921.587628865979,952.649484536082
"Fall 2019","Green","place-denrd",176.74025974026,89.55,187.441558441558,94.8,84.0779220779221,76.3246753246753,16.3376623376623,7.94805194805195,119.623376623377,59.8701298701299,158.762886597938,168.340206185567
"Fall 2019","Green","place-eliot",227.506493506494,70.15,163.61038961039,45.15,92.2597402597403,109.350649350649,25.8961038961039,12.3116883116883,90.4935064935065,60.8051948051948,195.061855670103,139.185567010309
"Fall 2019","Green","place-engav",260.337662337662,87.1,539.61038961039,208.4,129.649350649351,106.103896103896,24.5844155844156,97.961038961039,295.753246753247,145.896103896104,224.618556701031,471.319587628866
"Fall 2019","Green","place-fbkst",227.38961038961,68,198.337662337662,65.7,100.012987012987,105.974025974026,21.4025974025974,9.07792207792208,118.051948051948,71.2077922077922,194.525773195876,170.989690721649
"Fall 2019","Green","place-fenwd",161.012987012987,69.3,322.558441558442,190.4,27.2337662337662,87.2467532467532,46.5324675324675,37.0779220779221,206.831168831169,78.6493506493507,142.103092783505,295.309278350515
"Fall 2019","Green","place-fenwy",664.896103896104,248.1,719.623376623377,331.05,71.2597402597403,423.623376623377,170.012987012987,146.285714285714,408.792207792208,164.545454545455,578.958762886598,639.505154639175
"Fall 2019","Green","place-gover",14895.4155844156,9635.45,16394.6883116883,11239.3,2921.37662337662,8489.94805194805,3484.09090909091,1929.24675324675,10530.5974025974,3934.84415584416,13810.8865979381,15331.7216494845
"Fall 2019","Green","place-grigg",574.168831168831,295.95,495.441558441558,337.1,171.337662337662,338.948051948052,63.8831168831169,21.012987012987,323.350649350649,151.077922077922,516.80412371134,462.79381443299
"Fall 2019","Green","place-haecl",6042.45454545455,3835.8,6401.63636363636,4052.35,1125.54545454545,3839.8961038961,1077.01298701299,632.571428571429,3904.05194805195,1865.01298701299,5587.47422680412,5917.24742268041
"Fall 2019","Green","place-harvd",1013.1038961039,690.4,1531.24675324675,1133.3,204.363636363636,653.233766233766,155.506493506494,100.61038961039,1017.72727272727,412.909090909091,946.567010309278,1449.19587628866
"Fall 2019","Green","place-hsmnl",310.922077922078,133,277.12987012987,176.3,60.012987012987,171.298701298701,79.6103896103896,34.1038961038961,169.805194805195,73.2207792207792,274.237113402062,256.340206185567
"Fall 2019","Green","place-hwsst",122.922077922078,39.65,163.623376623377,51,24.7662337662338,70.3636363636364,27.7922077922078,23.4805194805195,105.311688311688,34.8311688311688,105.752577319588,140.40206185567
"Fall 2019","Green","place-hymnl",8220.46753246753,6168.05,7092.37662337662,5428.75,782.220779220779,5141.24675324675,2297,1120.03896103896,4298,1674.33766233766,7797.28865979381,6749.36082474227
"Fall 2019","Green","place-kencl",8935.88311688312,8073.75,9037.09090909091,8046.3,984.857142857143,5735.93506493507,2215.09090909091,1462.71428571429,5326.90909090909,2247.46753246753,8758.12371134021,8832.80412371134
"Fall 2019","Green","place-kntst",147.181818181818,50.5,113.935064935065,57.6,28.6493506493506,86.2337662337662,32.2987012987013,16.025974025974,67.7142857142857,30.1948051948052,127.247422680412,102.319587628866
"Fall 2019","Green","place-lake",216.220779220779,62.1,146.168831168831,73.75,41.7142857142857,122.909090909091,51.5974025974026,26.6103896103896,87.5714285714286,31.987012987013,184.443298969072,131.237113402062
"Fall 2019","Green","place-lech",5973.37662337662,3327.75,4185.42857142857,2304.75,1219.54545454545,3130.25974025974,1623.57142857143,763.727272727273,2297.2987012987,1124.4025974026,5427.88659793814,3797.65979381443
"Fall 2019","Green","place-lngmd",806.623376623377,394.65,891.883116883117,491.3,61.1948051948052,518.168831168831,227.25974025974,189.428571428571,550.428571428571,152.025974025974,721.680412371134,809.288659793814
"Fall 2019","Green","place-longw",567.818181818182,100.85,670.402597402597,166.8,50.7532467532468,347.844155844156,169.220779220779,181.727272727273,388.272727272727,100.402597402597,471.536082474227,566.567010309278
"Fall 2019","Green","place-mfa",540.909090909091,370.55,514.454545454545,380.75,37.0779220779221,339.38961038961,164.441558441558,75.8961038961039,307.662337662338,130.896103896104,505.783505154639,486.886597938144
"Fall 2019","Green","place-mispk",311.038961038961,172.75,415.935064935065,321.4,78.9350649350649,167.454545454545,64.6493506493507,21.5324675324675,274.233766233766,120.168831168831,282.525773195876,396.443298969072
"Fall 2019","Green","place-newtn",397.714285714286,86.4,453.636363636364,85.05,97.987012987013,210.285714285714,89.4415584415584,89.8571428571429,247.662337662338,116.116883116883,333.525773195876,377.639175257732
"Fall 2019","Green","place-newto",447.584415584416,119.65,360.935064935065,97.4,110.558441558442,254.74025974026,82.2857142857143,46.2467532467532,202.87012987013,111.818181818182,379.969072164948,306.59793814433
"Fall 2019","Green","place-north",7860.22077922078,3509.4,7612.72727272727,3508.95,2221.31168831169,4267.7012987013,1371.20779220779,840.233766233766,4024.4025974026,2748.09090909091,6963.14432989691,6766.58762886598
"Fall 2019","Green","place-nuniv",780.831168831169,467.3,1129.19480519481,1126.65,72.5194805194805,505.155844155844,203.155844155844,130.597402597403,722.584415584416,276.012987012987,716.185567010309,1128.67010309278
"Fall 2019","Green","place-pktrm",28560.8311688312,16504.35,30717.5454545455,16121.5,4934.4025974026,16790.974025974,6835.45454545455,4586.45454545455,18007.0519480519,8124.03896103896,26074.9587628866,27708.0515463918
"Fall 2019","Green","place-plsgr",365.909090909091,258.6,317.987012987013,229.8,29.1818181818182,253.753246753247,82.974025974026,52.0779220779221,201.233766233766,64.6753246753247,343.783505154639,299.80412371134
"Fall 2019","Green","place-prmnl",3417.87012987013,2497.1,3000.74025974026,2036.3,313.376623376623,2045.27272727273,1059.22077922078,699.857142857143,1724.46753246753,576.415584415584,3228.0206185567,2801.88659793814
"Fall 2019","Green","place-river",409.883116883117,238.3,301.285714285714,84.8,94.1428571428571,231.766233766234,83.974025974026,36.4935064935065,160.103896103896,104.688311688312,374.505154639175,256.649484536082
"Fall 2019","Green","place-rsmnl",566,178.3,768.298701298701,214.7,137.467532467532,343.961038961039,84.5714285714286,57.7922077922078,424.987012987013,285.519480519481,486.061855670103,654.154639175258
"Fall 2019","Green","place-rvrwy",260.402597402597,186.1,389.844155844156,339.35,81.8961038961039,133.402597402597,45.1038961038961,19.4285714285714,256.064935064935,114.350649350649,245.082474226804,379.432989690722
"Fall 2019","Green","place-smary",470.779220779221,273.35,674.545454545455,337.65,53.7012987012987,310.103896103896,106.974025974026,117.701298701299,422.623376623377,134.220779220779,430.072164948454,605.082474226804
"Fall 2019","Green","place-sougr",102.844155844156,68.7,302.74025974026,112.95,46.8051948051948,44.7532467532468,11.2857142857143,43.6363636363636,178.662337662338,80.4415584415584,95.8041237113402,263.60824742268
"Fall 2019","Green","place-spmnl",5158.63636363636,2534.45,6142.11688311688,3069,899.688311688312,2784.45454545455,1474.49350649351,1230.31168831169,3243.77922077922,1668.02597402597,4617.56701030928,5508.48453608247
"Fall 2019","Green","place-sthld",330.636363636364,179.9,216.649350649351,144.85,138.792207792208,164.220779220779,27.6233766233766,6.98701298701299,141.675324675325,67.987012987013,299.556701030928,201.845360824742
"Fall 2019","Green","place-stplb",366.090909090909,183.9,354.623376623377,186.6,23.2727272727273,245.324675324675,97.4935064935065,63.1948051948052,218.493506493506,72.9350649350649,328.525773195876,319.979381443299
"Fall 2019","Green","place-stpul",279.324675324675,119.2,200.844155844156,109.4,85.3506493506493,155.116883116883,38.8571428571429,13.7532467532468,120.324675324675,66.7662337662338,246.309278350515,181.989690721649
"Fall 2019","Green","place-sumav",366.974025974026,117.55,336.077922077922,134.3,137.558441558442,180.051948051948,49.3636363636364,20.025974025974,200.246753246753,115.805194805195,315.546391752577,294.474226804124
"Fall 2019","Green","place-symcl",1891.41558441558,1520.2,1833.46753246753,1431.8,308.649350649351,1213.33766233766,369.428571428571,160.74025974026,1155.31168831169,517.415584415584,1814.87628865979,1750.64948453608
"Fall 2019","Green","place-tapst",261.909090909091,116.2,238.61038961039,132.9,96.3246753246753,134.441558441558,31.1428571428571,10.7142857142857,147.454545454545,80.4415584415584,231.865979381443,216.814432989691
"Fall 2019","Green","place-waban",168.948051948052,50.25,111.207792207792,25.25,70.6363636363636,74.3766233766234,23.9350649350649,10.0649350649351,58.5844155844156,42.5584415584416,144.474226804124,93.4845360824742
"Fall 2019","Green","place-wascm",554.974025974026,358.85,522.363636363636,323.85,145.168831168831,338.376623376623,71.4285714285714,30.0909090909091,346.311688311688,145.961038961039,514.536082474227,481.432989690722
"Fall 2019","Green","place-woodl",250.090909090909,113.7,246.636363636364,66.15,70.6493506493507,133.103896103896,46.3376623376623,32.5064935064935,150.298701298701,63.8311688311688,221.969072164948,209.422680412371
"Fall 2019","Green","place-wrnst",496.792207792208,218.45,568.649350649351,304.15,158.545454545455,282.519480519481,55.7272727272727,47.987012987013,347.493506493507,173.168831168831,439.40206185567,514.113402061856
"Fall 2019","Orange","place-astao",4264.03896103896,2524.45,4727.90909090909,2923.15,661.857142857143,2331.09090909091,1271.09090909091,996.038961038961,2579.15584415584,1152.71428571429,3905.36082474227,4355.79381443299
"Fall 2019","Orange","place-bbsta",16645.1948051948,5116.2,16808.7792207792,5366.9,2245.1038961039,8280.32467532467,6119.76623376623,5902.92207792208,8184.31168831169,2721.54545454545,14268.0824742268,14449.6288659794
"Fall 2019","Orange","place-ccmnl",5027.07792207792,1229,6813.1948051948,2193.95,561.402597402597,3259.25974025974,1206.41558441558,1542.66233766234,4101.54545454545,1168.98701298701,4243.96907216495,5860.77319587629
"Fall 2019","Orange","place-chncl",5681.79220779221,3095.8,5575.48051948052,2939.65,256.714285714286,3689.94805194805,1735.12987012987,1517.55844155844,3235.2987012987,822.623376623377,5148.59793814433,5032.01030927835
"Fall 2019","Orange","place-dwnxg",30590.6883116883,8914.55,31764.4935064935,9137.8,3695.06493506494,17028.961038961,9866.66233766234,8601.41558441558,17472.0779220779,5691,26121.381443299,27099.1958762887
"Fall 2019","Orange","place-forhl",13099.1688311688,2285.15,12138.4545454545,2415.35,4581.20779220779,7106.38961038961,1411.57142857143,872.948051948052,6780.54545454545,4484.96103896104,10869.4742268041,10133.6907216495
"Fall 2019","Orange","place-grnst",3465.36363636364,564.75,3615.09090909091,619.85,1268.22077922078,1776.98701298701,420.155844155844,281.337662337662,2010.48051948052,1323.27272727273,2867.29896907217,2997.51546391753
"Fall 2019","Orange","place-haecl",8175.09090909091,4307,8225.88311688312,4218.6,812.077922077922,4978.18181818182,2384.83116883117,1902.57142857143,4907.45454545455,1415.85714285714,7377.54639175258,7399.63917525773
"Fall 2019","Orange","place-jaksn",5618.8051948052,1107.45,5379.51948051948,1117.8,1657.81818181818,3146.50649350649,814.480519480519,358.376623376623,3349.71428571429,1671.42857142857,4688.62886597938,4500.81443298969
"Fall 2019","Orange","place-masta",5834.31168831169,2510.75,6659.42857142857,3670.65,909.714285714286,3369.41558441558,1555.18181818182,1354.19480519481,3892.11688311688,1413.11688311688,5149.0412371134,6043.18556701031
"Fall 2019","Orange","place-mlmnl",12125.9350649351,4456.15,11454.3766233766,4789.4,4569.98701298701,6530.77922077922,1025.16883116883,534.246753246753,5956.45454545455,4963.67532467533,10544.5360824742,10080.1546391753
"Fall 2019","Orange","place-north",13507.3376623377,4429.1,11863.3116883117,3144.45,2704.88311688312,6977.76623376623,3824.68831168831,3071.03896103896,5663.62337662338,3128.64935064935,11635.5360824742,10065.6082474227
"Fall 2019","Orange","place-ogmnl",6693.71428571429,2052.2,5401.1948051948,1039.6,3188.85714285714,3079.45454545455,425.402597402597,110.714285714286,2323.93506493506,2966.54545454545,5736.70103092783,4501.89690721649
"Fall 2019","Orange","place-rcmnl",4950.62337662338,757.55,5057.32467532467,782.55,906.857142857143,3044.79220779221,998.974025974026,1082.15584415584,2815.75324675325,1159.41558441558,4086.07216494845,4175.92783505155
