"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings","avg_alightings"
"Fall 2023","Green","place-unsqu",688.857142857143,196.761904761905,584.666666666667,371.285714285714,524.825396825397,513.539682539683
"Fall 2023","Green","place-waban",221.142857142857,87.4761904761905,132.547619047619,45.7619047619048,176.587301587302,103.619047619048
"Fall 2023","Green","place-wascm",877.52380952381,377.333333333333,651.714285714286,212.52380952381,710.793650793651,505.31746031746
"Fall 2023","Green","place-woodl",262.690476190476,104.238095238095,648.285714285714,103.47619047619,209.873015873016,466.68253968254
"Fall 2023","Green","place-wrnst",780.547619047619,292.428571428571,479.428571428571,263.904761904762,617.84126984127,407.587301587302
"Fall 2023","Orange","place-astao",3517.55555555556,3640.65217391304,3446.85185185185,3344.65217391304,3554.32467532468,3416.32467532468
"Fall 2023","Orange","place-bbsta",7858.98148148148,5055.4347826087,8319.61111111111,5301.26086956522,7021.55844155844,7418.02597402597
"Fall 2023","Orange","place-ccmnl",3029.72222222222,1127.13043478261,3336.40740740741,1227,2461.41558441558,2706.32467532468
"Fall 2023","Orange","place-chncl",3763.81481481481,3033.91304347826,3346.62962962963,2482.30434782609,3545.79220779221,3088.45454545455
"Fall 2023","Orange","place-dwnxg",12818.5740740741,7250.69565217391,14168.0555555556,7764.26086956522,11155.4415584416,12255.2337662338
"Fall 2023","Orange","place-forhl",7827.5,3883.5652173913,6341.46296296296,3554.39130434783,6649.44155844156,5508.96103896104
"Fall 2023","Orange","place-grnst",2077,1161.26086956522,2345.12962962963,1388,1803.46753246753,2059.23376623377
"Fall 2023","Orange","place-haecl",2916.27777777778,2510,2874.5,2796.73913043478,2794.92207792208,2851.27272727273
"Fall 2023","Orange","place-jaksn",4154.37037037037,2307.91304347826,3334.14814814815,1992.5652173913,3602.83116883117,2933.41558441558
"Fall 2023","Orange","place-masta",4105.68518518519,2624.5652173913,3827.42592592593,2362.34782608696,3663.27272727273,3389.80519480519
"Fall 2023","Orange","place-mlmnl",6123.77777777778,3441.08695652174,6094.96296296296,3613,5322.45454545455,5353.5974025974
"Fall 2023","Orange","place-north",8575.38888888889,5439.60869565217,8231.14814814815,4725.30434782609,7638.72727272727,7183.94805194805
"Fall 2023","Orange","place-ogmnl",3876.01851851852,1820.47826086957,4352.75925925926,2129.39130434783,3262.02597402597,3688.63636363636
"Fall 2023","Orange","place-rcmnl",3670.44444444444,1822.47826086957,3312.46296296296,1610.13043478261,3118.45454545455,2803.97402597403
"Fall 2023","Orange","place-rugg",3164.16666666667,1295.08695652174,3564.74074074074,1486.17391304348,2605.87012987013,2943.87012987013
