"route_id","parent_station","walk_poly_wkt"
"Orange","place-ogmnl","POLYGON ((-71.0795 42.43405, -71.07945 42.43386, -71.07932 42.43365, -71.07862 42.43324, -71.07409 42.43006, -71.07144 42.4297, -71.07109 42.4298, -71.06774 42.43188, -71.06676 42.43257, -71.06663 42.43266, -71.0641 42.43484, -71.06369 42.43614, -71.06364 42.4365, -71.06513 42.44013, -71.06519 42.44027, -71.06538 42.44058, -71.06936 42.44336, -71.06993 42.44366, -71.07188 42.44399, -71.07224 42.44403, -71.07295 42.44392, -71.07305 42.44388, -71.07659 42.43971, -71.07816 42.43728, -71.07951 42.43421, -71.0795 42.43405))"
"Orange","place-mlmnl","POLYGON ((-71.08256 42.42616, -71.08137 42.42474, -71.07768 42.42154, -71.0758 42.42001, -71.07544 42.41996, -71.07214 42.42072, -71.06744 42.4238, -71.06563 42.42517, -71.06523 42.42637, -71.0653 42.42672, -71.06546 42.42746, -71.06552 42.42764, -71.06644 42.42941, -71.06828 42.4309, -71.06835 42.43093, -71.07084 42.43207, -71.07213 42.43259, -71.07506 42.43333, -71.0754 42.43321, -71.07713 42.43228, -71.07951 42.43034, -71.08116 42.42882, -71.08265 42.42651, -71.08256 42.42616))"
"Orange","place-welln","POLYGON ((-71.08411 42.40456, -71.08413 42.40273, -71.08415 42.40198, -71.08413 42.40185, -71.08389 42.4001, -71.08372 42.39946, -71.08338 42.39934, -71.08057 42.39995, -71.07697 42.39758, -71.07692 42.39754, -71.07678 42.39815, -71.07675 42.39892, -71.07497 42.40198, -71.07031 42.40194, -71.07002 42.40173, -71.06884 42.40287, -71.06874 42.40321, -71.07268 42.4069, -71.07321 42.40735, -71.07436 42.40815, -71.07634 42.40944, -71.0767 42.40946, -71.07683 42.40946, -71.0818 42.40632, -71.08214 42.40623, -71.08386 42.4051, -71.08399 42.40497, -71.08411 42.40456))"
"Orange","place-astao","POLYGON ((-71.08586 42.39282, -71.08601 42.39198, -71.08599 42.39191, -71.08574 42.39165, -71.08452 42.39114, -71.08441 42.39112, -71.08138 42.38983, -71.07927 42.38634, -71.0792 42.38612, -71.07916 42.38604, -71.07882 42.38585, -71.07595 42.38541, -71.07572 42.38568, -71.07442 42.39096, -71.07554 42.39335, -71.07632 42.39449, -71.07739 42.39559, -71.07769 42.39576, -71.07877 42.39615, -71.07909 42.39626, -71.08117 42.39695, -71.08311 42.39764, -71.08565 42.39399, -71.08586 42.39282))"
"Orange","place-sull","POLYGON ((-71.0841 42.38176, -71.0841 42.38175, -71.08394 42.38142, -71.08141 42.38017, -71.08109 42.38014, -71.08074 42.38024, -71.07489 42.37933, -71.07441 42.37923, -71.07367 42.37934, -71.07156 42.37972, -71.07147 42.37974, -71.07116 42.37993, -71.0689 42.38187, -71.06874 42.3822, -71.06827 42.38379, -71.06827 42.38388, -71.06836 42.38429, -71.06845 42.38443, -71.07152 42.3888, -71.07183 42.38899, -71.07327 42.38959, -71.07704 42.3901, -71.0774 42.39008, -71.08113 42.38895, -71.08192 42.38861, -71.08349 42.38773, -71.08349 42.38773, -71.08358 42.38749, -71.0841 42.38176))"
"Orange","place-ccmnl","POLYGON ((-71.07806 42.37298, -71.0768 42.37051, -71.07519 42.36742, -71.0751 42.36737, -71.074 42.36736, -71.07364 42.36736, -71.07112 42.36768, -71.07101 42.3677, -71.07053 42.36778, -71.0705 42.36779, -71.06876 42.36843, -71.06447 42.36953, -71.06141 42.37041, -71.0612 42.37071, -71.06096 42.37177, -71.06086 42.37314, -71.06101 42.37571, -71.06105 42.37586, -71.06107 42.37595, -71.06199 42.37808, -71.06228 42.3783, -71.06356 42.37895, -71.06426 42.37898, -71.06706 42.37925, -71.07126 42.38037, -71.07157 42.38019, -71.07173 42.37999, -71.07215 42.37931, -71.07299 42.37614, -71.07793 42.37332, -71.07806 42.37298))"
"Orange","place-north","POLYGON ((-71.06973 42.36616, -71.06966 42.36475, -71.06702 42.36109, -71.06698 42.36106, -71.06614 42.36046, -71.06531 42.35988, -71.06527 42.35986, -71.06418 42.35921, -71.0641 42.35917, -71.064 42.35917, -71.06298 42.35927, -71.05735 42.35993, -71.05663 42.36012, -71.05421 42.36075, -71.05413 42.36084, -71.05397 42.36116, -71.05318 42.36383, -71.05317 42.36415, -71.05271 42.36745, -71.05125 42.37063, -71.05124 42.37099, -71.0516 42.371, -71.05195 42.37102, -71.05237 42.37099, -71.05276 42.37096, -71.05514 42.37026, -71.06048 42.37127, -71.06177 42.37139, -71.06204 42.37136, -71.0626 42.37122, -71.0664 42.36953, -71.06949 42.36762, -71.06965 42.36736, -71.06973 42.36616))"
"Orange","place-haecl","POLYGON ((-71.06676 42.36109, -71.06486 42.35914, -71.06319 42.35759, -71.06139 42.35687, -71.06125 42.35683, -71.05752 42.35587, -71.05716 42.35589, -71.05616 42.35593, -71.05516 42.3562, -71.0517 42.35772, -71.04755 42.35964, -71.04761 42.36, -71.05035 42.36437, -71.05135 42.36635, -71.0514 42.36643, -71.05223 42.36716, -71.05391 42.36831, -71.05758 42.36953, -71.06041 42.37018, -71.06071 42.36997, -71.06322 42.36787, -71.06357 42.36756, -71.06383 42.36731, -71.06495 42.36586, -71.06528 42.36514, -71.0669 42.36135, -71.06676 42.36109))"
"Orange","place-state","POLYGON ((-71.0665 42.36102, -71.06609 42.35711, -71.066 42.35678, -71.06338 42.35306, -71.06274 42.35272, -71.05953 42.35219, -71.05815 42.352, -71.05543 42.35229, -71.05305 42.35273, -71.05292 42.35276, -71.05207 42.35301, -71.0506 42.35387, -71.05057 42.35389, -71.0504 42.35406, -71.05024 42.35438, -71.04964 42.35637, -71.04479 42.35975, -71.04402 42.35971, -71.04331 42.35963, -71.0426 42.35955, -71.04256 42.35991, -71.04719 42.36166, -71.05228 42.36456, -71.0523 42.36456, -71.05296 42.36479, -71.05312 42.36484, -71.05543 42.36545, -71.05557 42.36545, -71.05839 42.36548, -71.05841 42.36548, -71.05921 42.36524, -71.06363 42.36358, -71.0654 42.36251, -71.06628 42.36147, -71.06638 42.36131, -71.0665 42.36105, -71.0665 42.36102))"
"Orange","place-dwnxg","POLYGON ((-71.06944 42.35612, -71.06941 42.35592, -71.06909 42.35434, -71.06909 42.35433, -71.06834 42.35229, -71.06424 42.34893, -71.06389 42.34873, -71.06387 42.34872, -71.05909 42.34895, -71.05746 42.34934, -71.05263 42.351, -71.05258 42.35103, -71.0525 42.35112, -71.05248 42.35116, -71.05233 42.35149, -71.05198 42.35638, -71.05191 42.35729, -71.05197 42.35862, -71.05197 42.35862, -71.05215 42.35889, -71.05306 42.35969, -71.05547 42.36131, -71.05567 42.3614, -71.05733 42.36198, -71.05764 42.36202, -71.05783 42.36204, -71.0582 42.36203, -71.06306 42.36153, -71.06537 42.36026, -71.06728 42.35906, -71.06809 42.3582, -71.06935 42.35642, -71.06944 42.35623, -71.06944 42.35612))"
